ID,line,path,eva_nr,category,station,state,city,zip,long,lat,arrival_plan,departure_plan,arrival_change,departure_change,arrival_delay_m,departure_delay_m,info,arrival_delay_check,departure_delay_check
-3337003472550423514-2407090933-20,1,Solingen Hbf|Solingen Vogelpark|Hilden Süd|Hilden|Düsseldorf-Eller|Düsseldorf-Eller Mitte|Düsseldorf-Oberbilk|Düsseldorf Volksgarten|Düsseldorf Hbf|Düsseldorf Wehrhahn|Düsseldorf-Zoo|Düsseldorf-Derendorf|Düsseldorf-Unterrath|Düsseldorf Flughafen|Angermund|Duisburg-Rahm|Duisburg-Großenbaum|Duisburg-Buchholz|Duisburg-Schlenk,8000086,1,Duisburg Hbf,Nordrhein-Westfalen,Duisburg,47051,6.775903,51.429785,2024-07-09 10:28:00,2024-07-09 10:37:00,2024-07-09 10:31:00,2024-07-09 10:38:00,3,1,Information. (Quelle: zuginfo.nrw),on_time,on_time
2901971458785547214-2407100933-26,18,Tübingen Hbf|Reutlingen Hbf|Metzingen(Württ)|Nürtingen|Wendlingen(Neckar)|Plochingen|Esslingen(Neckar)|Stuttgart-Bad Cannstatt|Stuttgart Hbf|Ludwigsburg|Bietigheim-Bissingen|Besigheim|Walheim(Württ)|Kirchheim(Neckar)|Lauffen(Neckar)|Nordheim(Württ)|Heilbronn Hbf|Heilbronn Sülmertor|Neckarsulm|Bad Friedrichshall Hbf|Untergriesheim|Herbolzheim(Jagst)|Neudenau|Siglingen|Züttlingen,8004050,5,Möckmühl,Baden-Württemberg,Möckmühl,74219,9.357979,49.321107,2024-07-10 12:05:00,2024-07-10 12:05:00,2024-07-10 12:05:00,2024-07-10 12:06:00,0,1,,on_time,on_time
3687648267203188228-2407102138-16,42,Berlin Beusselstraße|Berlin Jungfernheide (S)|Berlin Westend|Berlin Messe Nord/ICC (Witzleben)|Berlin Westkreuz|Berlin-Halensee|Berlin Hohenzollerndamm|Berlin Heidelberger Platz|Berlin Bundesplatz|Berlin Innsbrucker Platz|Berlin-Schöneberg|Berlin Südkreuz (S)|Berlin-Tempelhof|Berlin Hermannstraße|Berlin-Neukölln,8089327,4,Sonnenallee,Berlin,Berlin,12055,13.455851,52.473101,2024-07-10 22:10:00,2024-07-10 22:10:00,2024-07-10 22:10:00,2024-07-10 22:10:00,0,0,,on_time,on_time
5219230081454556106-2407141132-11,51,Aglasterhausen|Helmstadt(Baden)|Neckarbischofsheim Nord|Waibstadt|Neidenstein|Eschelbronn|Meckesheim|Mauer(b Heidelberg)|Reilsheim|Bammental,8000265,3,Neckargemünd,Baden-Württemberg,Neckargemünd,69151,8.788425,49.393678,2024-07-14 12:11:00,2024-07-14 12:11:00,2024-07-14 12:11:00,2024-07-14 12:12:00,0,1,,on_time,on_time
-1967092808555284294-2407101614-11,RB90,Kreuztal|Siegen-Geisweid|Siegen-Weidenau|Siegen Hbf|Eiserfeld(Sieg)|Niederschelden Nord|Niederschelden|Mudersbach|Brachbach|Freusburg Siedlung,8000427,5,Kirchen,Rheinland-Pfalz,Kirchen (Sieg),57548,7.880509,50.806576,2024-07-10 16:50:00,2024-07-10 16:50:00,2024-07-10 16:50:00,2024-07-10 16:50:00,0,0,,on_time,on_time
9145916256116665890-2407112148-12,3,Berlin-Spandau (S)|Berlin-Stresow|Berlin-Pichelsberg|Berlin Olympiastadion|Berlin Heerstraße|Berlin Messe Süd (Eichkamp)|Berlin Westkreuz|Berlin Charlottenburg (S)|Berlin Savignyplatz|Berlin Zoologischer Garten (S)|Berlin-Tiergarten,8089005,4,Bellevue,Berlin,Berlin,10557,13.348263,52.519955,2024-07-11 22:12:00,2024-07-11 22:13:00,2024-07-11 22:12:00,2024-07-11 22:13:00,0,0,Störung,on_time,on_time
2624211730564800984-2407100412-18,75,Lindau-Insel|Hergatz|Heimenkirch|Röthenbach(Allgäu)|Oberstaufen|Immenstadt|Martinszell(Allgäu)|Kempten(Allgäu)Hbf|Kempten(Allgäu)Ost|Dietmannsried|Bad Grönenbach|Memmingen|Kellmünz|Altenstadt(Iller)|Illertissen|Bellenberg|Vöhringen,8005532,5,Senden,Bayern,Senden,89250,10.050502,48.324016,2024-07-10 06:28:00,2024-07-10 06:29:00,2024-07-10 06:30:00,2024-07-10 06:31:00,2,2,,on_time,on_time
3543731599180013172-2407132232-5,RE70,Bielefeld Hbf|Herford|Löhne(Westf)|Bad Oeynhausen,8004868,4,Porta Westfalica,Nordrhein-Westfalen,Porta Westfalica,32457,8.920253,52.243423,2024-07-13 23:03:00,2024-07-13 23:04:00,2024-07-13 23:08:00,2024-07-13 23:09:00,5,5,,on_time,on_time
7594154785615230350-2407092105-2,RB81,Ahrensburg,8002558,4,Hamburg-Rahlstedt,Hamburg,Hamburg,22143,10.154396,53.604857,2024-07-09 21:26:00,2024-07-09 21:26:00,2024-07-09 21:27:00,2024-07-09 21:27:00,1,1,Information,on_time,on_time
-7935312781145201778-2407081035-5,81,Bad Oldesloe|Kupfermühle|Bargteheide|Ahrensburg-Gartenholz,8000446,4,Ahrensburg,Schleswig-Holstein,Ahrensburg,22926,10.236206,53.669171,2024-07-08 10:54:00,2024-07-08 10:55:00,,,0,0,,on_time,on_time
8735616501623810778-2407121736-1,RB66,,8010004,3,Angermünde,Brandenburg,Angermünde,16278,13.996361,53.015221,,2024-07-12 17:36:00,,,0,0,Information,on_time,on_time
2221767359689952194-2407111453-35,11,Bergisch Gladbach|Duckterath|Köln-Dellbrück|Köln-Holweide|Köln-Mülheim|Köln-Buchforst|Köln Messe/Deutz|Köln Hbf|Köln Hansaring|Köln-Nippes|Köln Geldernstr./Parkgürtel|Köln-Longerich|Köln Volkhovener Weg|Köln-Chorweiler|Köln-Chorweiler Nord|Köln-Blumenberg|Köln-Worringen|Dormagen Chempark|Dormagen|Nievenheim|Neuss Allerheiligen|Norf|Neuss Süd|Neuss Hbf|Neuss Am Kaiser|Neuss Rheinparkcenter|Düsseldorf-Hamm|Düsseldorf Völklinger Str.|Düsseldorf-Bilk|Düsseldorf Friedrichstadt|Düsseldorf Hbf|Düsseldorf Wehrhahn|Düsseldorf-Zoo|Düsseldorf-Derendorf,8001595,4,Düsseldorf-Unterrath,Nordrhein-Westfalen,Düsseldorf,40468,6.788783,51.276732,2024-07-11 16:31:00,2024-07-11 16:32:00,2024-07-11 16:31:00,2024-07-11 16:32:00,0,0,Information. (Quelle: zuginfo.nrw),on_time,on_time
-8005795174579436514-2407112133-20,9,Haltern am See|Marl-Hamm|Marl Mitte|Gelsenkirchen-Hassel|Gelsenkirchen-Buer Nord|Gladbeck West|Bottrop-Boy|Bottrop Hbf|Essen-Dellwig Ost|Essen-Gerschede|Essen-Borbeck|Essen-Borbeck Süd|Essen West|Essen Hbf|Essen-Steele|Essen-Überruhr|Essen-Holthausen|Essen-Kupferdreh|Velbert-Nierenhof,8003529,5,Velbert-Langenberg,Nordrhein-Westfalen,Velbert-Langenberg,42555,7.122377,51.354764,2024-07-11 22:42:00,2024-07-11 22:42:00,2024-07-11 22:52:00,2024-07-11 22:53:00,10,11,Bauarbeiten. (Quelle: zuginfo.nrw),delay,delay
7705264331100403684-2407111701-1,RE18,,8000294,2,Osnabrück Hbf,Niedersachsen,Osnabrück,49074,8.061781,52.272851,,2024-07-11 17:01:00,,2024-07-11 17:01:00,0,0,Information,on_time,on_time
3534185430669820111-2407111628-2,45,Berlin Südkreuz (S),8089090,4,Berlin-Tempelhof,Berlin,Berlin,12099,13.384547,52.470967,2024-07-11 16:30:00,2024-07-11 16:30:00,,,0,0,,on_time,on_time
2349560979112644951-2407142110-16,3,Pinneberg|Thesdorf|Halstenbek|Krupunder|Hamburg Elbgaustraße|Hamburg-Eidelstedt|Hamburg-Stellingen|Hamburg-Langenfelde|Hamburg-Altona(S)|Hamburg Königstraße|Hamburg Reeperbahn|Hamburg Landungsbrücken|Hamburg Stadthausbrücke|Hamburg Jungfernstieg|Hamburg Hbf (S-Bahn),8004266,4,Hammerbrook,Hamburg,Hamburg,20097,10.02361,53.54661,2024-07-14 21:48:00,2024-07-14 21:49:00,,,0,0,Information,on_time,on_time
